,Stock,Start Date,End Date,Accord Code,Sr.No.,Company Name,CD_BSE Code,CD_Bse Scrip Name,CD_NSE Symbol,CD_ISIN No
0,ABB,29-12-2006,01-02-2013,100002,33,ABB India Ltd.,500002.0,ABB LTD.,ABB,INE117A01022
1,SUZLON,29-12-2006,01-03-2013,132667,3504,Suzlon Energy Ltd.,532667.0,SUZLONENERGY,SUZLON,INE040H01021
2,GUJFLUORO,05-08-2011,01-03-2013,295872,1278,Gujarat Fluorochemicals Ltd.,542812.0,FLUOROCHEM,FLUOROCHEM,INE09N301011
3,GVKPIL,21-08-2008,01-04-2013,132708,1298,GVK Power & Infrastructure Ltd.,532708.0,GVK POWERINF,GVKPIL,INE251H01024
4,BHUSANSTL,05-09-2007,01-04-2013,100055,3571,Tata Steel BSL Ltd.,500055.0,TATASTLBSL,TATASTLBSL,INE824B01021
5,WELCORP,17-05-2010,26-04-2013,132144,3971,Welspun Corp Ltd.,532144.0,WELCORP,WELCORP,INE191B01025
6,IVRCLINFRA,29-12-2006,28-06-2013,130773,1649,IVRCL Ltd.,530773.0,IVRCL LTD,IVRCLINFRA,INE875A01025
7,STER,29-12-2006,27-08-2013,100900,3423,Sterlite Industries (India) Ltd.(Merged),500900.0,STERLITE IN,STER,INE268A01049
8,SINTEX,21-08-2008,29-08-2013,102742,3301,Sintex Industries Ltd.,502742.0,SINTEX IND.,SINTEX,INE429C01035
9,RAYMOND,29-04-2011,27-09-2013,100330,2948,Raymond Ltd.,500330.0,RAYMOND,RAYMOND,INE301A01014
10,INDHOTEL,29-12-2006,27-09-2013,100850,3629,The Indian Hotels Company Ltd.,500850.0,INDIAN HOTEL,INDHOTEL,INE053A01029
11,CHAMBLFERT,29-12-2006,01-11-2013,100085,641,Chambal Fertilisers and Chemicals Ltd.,500085.0,CHAMBAL FERT,CHAMBLFERT,INE085A01013
12,OPTOCIRCUI,21-08-2008,01-11-2013,132391,2592,Opto Circuits (India) Ltd.,532391.0,OPTO CIRCUIT,OPTOCIRCUI,INE808B01016
13,FINANTECH,11-05-2007,01-11-2013,126881,9,63 Moons Technologies Ltd.,526881.0,63MOONS,63MOONS,INE111B01023
14,PUNJLLOYD,29-12-2006,01-11-2013,132693,2846,Punj Lloyd Ltd.,532693.0,PUNJ LLOYD,PUNJLLOYD,INE701B01021
15,RENUKA,29-12-2006,01-11-2013,132670,3237,Shree Renuka Sugars Ltd.,532670.0,RENUKA SUGAR,RENUKA,INE087H01022
16,GSPL,21-08-2008,01-11-2013,132702,1293,Gujarat State Petronet Ltd.,532702.0,GUJ PETRONET,GSPL,INE246F01010
17,DENABANK,11-05-2007,29-11-2013,132121,811,Dena Bank - (Amalgamated),532121.0,DENA BANK,DENABANK,INE077A01010
18,VIJAYABANK,29-12-2006,29-11-2013,132401,3885,Vijaya Bank - (Amalgamated),532401.0,VIJAYA BANK,VIJAYABANK,INE705A01016
19,FEL,11-05-2007,31-01-2014,123574,1100,Future Enterprises Ltd.,523574.0,FEL,FEL,INE623B01027
20,GSKCONS,03-10-2013,30-05-2014,100676,1172,Glaxosmithkline Consumer Healthcare Ltd. - (Amalgamated),500676.0,GLAXOSMITHKL,GSKCONS,INE264A01014
21,UNITDSPR,29-12-2006,19-09-2014,132432,3777,United Spirits Ltd.,532432.0,UNITDSPR,UNITDSPR,INE854D01024
22,RANBAXY,29-12-2006,06-04-2015,100359,2925,Ranbaxy Laboratories Ltd.- (Amalgamation),500359.0,RANBAXY LAB.,RANBAXY,INE015A01028
23,JPPOWER,08-01-2010,28-09-2015,132627,1665,Jaiprakash Power Ventures Ltd.,532627.0,JPPOWER,JPPOWER,INE351F01018
24,AMTEKAUTO,28-11-2014,30-10-2015,120077,195,Amtek Auto Ltd.,520077.0,AMTEK AUTO,AMTEKAUTO,INE130C01021
25,UCOBANK,21-08-2008,01-07-2016,132505,3741,UCO Bank,532505.0,UCOBANK,UCOBANK,INE691A01018
26,IOB,29-12-2006,01-07-2016,132388,1538,Indian Overseas Bank,532388.0,INDIAN OVER.,IOB,INE565A01014
27,UNITECH,11-05-2007,29-07-2016,107878,3770,Unitech Ltd.,507878.0,UNITECH LTD,UNITECH,INE694A01020
28,MCLEODRUSS,19-02-2010,27-02-2017,132654,2122,Mcleod Russel India Ltd.,532654.0,MCLEOD RUSSE,MCLEODRUSS,INE942G01012
29,CROMPGREAV,29-12-2006,08-03-2017,280713,740,Crompton Greaves Consumer Electricals Ltd.,539876.0,CROMPTON,CROMPTON,INE299U01018
30,CAIRN,08-01-2007,26-04-2017,132792,583,Cairn India Ltd. (Amalgamated),532792.0,CAIRN IND,CAIRN,INE910H01017
31,ABIRLANUVO,11-05-2007,05-07-2017,100303,68,Aditya Birla Nuvo Ltd. - (Amalgamated),500303.0,ADI BIR NUVO,ABIRLANUVO,INE069A01017
32,SINTEX,01-07-2016,01-09-2017,102742,3301,Sintex Industries Ltd.,502742.0,SINTEX IND.,SINTEX,INE429C01035
33,RDEL,31-03-2017,18-09-2017,210595,2975,Reliance Naval and Engineering Ltd.,533107.0,RNAVAL,RNAVAL,INE542F01012
34,IBREALEST,21-08-2008,01-12-2017,132832,996,Equinox India Developments Ltd.,532832.0,EMBDL,EMBDL,INE069I01010
35,ICIL,26-02-2016,29-01-2018,121016,1550,Indo Count Industries Ltd.,521016.0,INDO COUNT,ICIL,INE483B01026
36,JSWENERGY,18-07-2011,29-01-2018,208461,1734,JSW Energy Ltd.,533148.0,JSW ENERGY,JSWENERGY,INE121E01018
37,FORTIS,28-04-2017,02-04-2018,132843,1089,Fortis Healthcare Ltd.,532843.0,FORTIS,FORTIS,INE061F01013
38,HDIL,24-07-2007,27-04-2018,132873,1423,Housing Development And Infrastructure Ltd.,532873.0,HOUSING DEV,HDIL,INE191I01012
39,RNAVAL,18-09-2017,31-05-2018,210595,2975,Reliance Naval and Engineering Ltd.,533107.0,RNAVAL,RNAVAL,INE542F01012
40,ANDHRABANK,29-12-2006,27-09-2018,132418,198,Andhra Bank - (Amalgamated),532418.0,ANDHRA BANK,ANDHRABANK,INE434A01013
41,BALRAMCHIN,28-04-2017,27-09-2018,100038,408,Balrampur Chini Mills Ltd.,500038.0,BALRAM.CHINI,BALRAMCHIN,INE119A01028
